day;month;year;week;cases;deaths;countriesAndTerritories;geoId;popData2019;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
20;1;2020;Week 4;0;0;Finland;FI;5517919;0
19;1;2020;Week 4;0;0;Finland;FI;5517919;0
18;1;2020;Week 3;0;0;Finland;FI;5517919;0
17;1;2020;Week 3;0;0;Finland;FI;5517919;0
16;1;2020;Week 3;0;0;Finland;FI;5517919;0
15;1;2020;Week 3;0;0;Finland;FI;5517919;0
14;1;2020;Week 3;0;0;Finland;FI;5517919;0
13;1;2020;Week 3;0;0;Finland;FI;5517919;0
12;1;2020;Week 3;0;0;Finland;FI;5517919;0
11;1;2020;Week 2;0;0;Finland;FI;5517919;0
10;1;2020;Week 2;0;0;Finland;FI;5517919;0
9;1;2020;Week 2;0;0;Finland;FI;5517919;0
8;1;2020;Week 2;0;0;Finland;FI;5517919;0
7;1;2020;Week 2;0;0;Finland;FI;5517919;0
6;1;2020;Week 2;0;0;Finland;FI;5517919;0
5;1;2020;Week 2;0;0;Finland;FI;5517919;0
4;1;2020;Week 1;0;0;Finland;FI;5517919;0
3;1;2020;Week 1;0;0;Finland;FI;5517919;0
2;1;2020;Week 1;0;0;Finland;FI;5517919;0
1;1;2020;Week 1;0;0;Finland;FI;5517919;0
31;12;2019;Week 53;0;0;Finland;FI;5517919;0
21;10;2020;Week 43;20468;262;France;FR;67012883;441,6792514
20;10;2020;Week 43;13243;146;France;FR;67012883;426,7880849
19;10;2020;Week 43;29837;85;France;FR;67012883;414,6426591
18;10;2020;Week 43;32427;89;France;FR;67012883;388,8386655
17;10;2020;Week 42;25086;178;France;FR;67012883;365,775936
16;10;2020;Week 42;30621;88;France;FR;67012883;346,4692006
15;10;2020;Week 42;22591;104;France;FR;67012883;321,6217395
14;10;2020;Week 42;12993;108;France;FR;67012883;307,0782673
13;10;2020;Week 42;8505;95;France;FR;67012883;299,703566
12;10;2020;Week 42;16101;46;France;FR;67012883;293,0854355
11;10;2020;Week 42;26896;54;France;FR;67012883;285,6570131
10;10;2020;Week 41;20339;109;France;FR;67012883;267,0277594
9;10;2020;Week 41;18129;76;France;FR;67012883;260,2499582
