day;month;year;week;cases;deaths;countriesAndTerritories;geoId;popData2019;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
22;2;2020;Week 8;0;0;Finland;FI;5517919;0
21;2;2020;Week 8;0;0;Finland;FI;5517919;0
20;2;2020;Week 8;0;0;Finland;FI;5517919;0
19;2;2020;Week 8;0;0;Finland;FI;5517919;0
18;2;2020;Week 8;0;0;Finland;FI;5517919;0
17;2;2020;Week 8;0;0;Finland;FI;5517919;0
16;2;2020;Week 8;0;0;Finland;FI;5517919;0
15;2;2020;Week 7;0;0;Finland;FI;5517919;0
14;2;2020;Week 7;0;0;Finland;FI;5517919;0
13;2;2020;Week 7;0;0;Finland;FI;5517919;0
12;2;2020;Week 7;0;0;Finland;FI;5517919;0,01812277
11;2;2020;Week 7;0;0;Finland;FI;5517919;0,01812277
10;2;2020;Week 7;0;0;Finland;FI;5517919;0,01812277
9;2;2020;Week 7;0;0;Finland;FI;5517919;0,01812277
8;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
7;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
6;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
5;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
4;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
3;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
2;2;2020;Week 6;0;0;Finland;FI;5517919;0,01812277
1;2;2020;Week 5;0;0;Finland;FI;5517919;0,01812277
31;1;2020;Week 5;0;0;Finland;FI;5517919;0,01812277
30;1;2020;Week 5;1;0;Finland;FI;5517919;0,01812277
29;1;2020;Week 5;0;0;Finland;FI;5517919;0
28;1;2020;Week 5;0;0;Finland;FI;5517919;0
27;1;2020;Week 5;0;0;Finland;FI;5517919;0
26;1;2020;Week 5;0;0;Finland;FI;5517919;0
25;1;2020;Week 4;0;0;Finland;FI;5517919;0
24;1;2020;Week 4;0;0;Finland;FI;5517919;0
23;1;2020;Week 4;0;0;Finland;FI;5517919;0
22;1;2020;Week 4;0;0;Finland;FI;5517919;0
21;1;2020;Week 4;0;0;Finland;FI;5517919;0
